"300 W 133rd St, New York, NY 10030, USA","300","W 133rd St","New York","NY","US","10030",40.815225,-73.947848
"301 E 48th St, New York, NY 10017, USA","301","E 48th St","New York","NY","US","10017",40.7537384,-73.9689917
"301 W 56th St, New York, NY 10019, USA","301","W 56th St","New York","NY","US","10019",40.7663258,-73.98362949999999
"301 E 76th St, New York, NY 10021, USA","301","E 76th St","New York","NY","US","10021",40.77134769999999,-73.95607079999999
"301 E 85th St, New York, NY 10028, USA","301","E 85th St","New York","NY","US","10028",40.7771725,-73.95194579999999
"301 E 87th St, New York, NY 10128, USA","301","E 87th St","New York","NY","US","10128",40.7785519,-73.95064459999999
"301 E 89th St, New York, NY 10128, USA","301","E 89th St","New York","NY","US","10128",40.7797754,-73.9499501
"301 E 90th St, New York, NY 10128, USA","301","E 90th St","New York","NY","US","10128",40.78039789999999,-73.94946
"301 E 95th St, New York, NY 10128, USA","301","E 95th St","New York","NY","US","10128",40.7835139,-73.9471066
"301 Elizabeth St, New York, NY 10012, USA","301","Elizabeth St","New York","NY","US","10012",40.72472339999999,-73.99355480000001
"301 W 110th St, New York, NY 10026, USA","301","W 110th St","New York","NY","US","10026",40.8011259,-73.9585118
"301 W 118th St, New York, NY 10026, USA","301","W 118th St","New York","NY","US","10026",40.8059941,-73.95468269999999
"301 W 141st St, New York, NY 10030, USA","301","W 141st St","New York","NY","US","10030",40.8205454,-73.9440417
"302 E 52nd St, New York, NY 10022, USA","302","E 52nd St","New York","NY","US","10022",40.7558555,-73.96726249999999
"302 E 78th St, New York, NY 10075, USA","302","E 78th St","New York","NY","US","10075",40.7723327,-73.9552913
"302 W 21st St, New York, NY 10011, USA","302","W 21st St","New York","NY","US","10011",40.7440761,-73.9999352
"303 E 46th St, New York, NY 10017, USA","303","E 46th St","New York","NY","US","10017",40.7523223,-73.9698107
"304 Columbus Ave, New York, NY 10023, USA","304","Columbus Ave","New York","NY","US","10023",40.779032,-73.97786669999999
"304 E 50th St, New York, NY 10022, USA","304","E 50th St","New York","NY","US","10022",40.75460789999999,-73.9682873
"304 E 62nd St, New York, NY 10065, USA","304","E 62nd St","New York","NY","US","10065",40.7621183,-73.96254379999999
